PRESS | y
PRESS | o
PRESS | p
PRESS | j
PRESS | s
PRESS | Key.esc
2026-08-24 14:46:35.721 | PRESS | u
2026-08-24 14:46:36.866 | PRESS | p
2026-08-24 14:46:37.589 | PRESS | m
2026-08-24 14:46:38.091 | PRESS | w
2026-08-24 14:46:38.838 | PRESS | Key.esc
2026-08-24 14:49:56.276 | PRESS | evento_001 | u
2026-08-24 14:49:56.874 | PRESS | evento_002 | p
2026-08-24 14:49:57.551 | PRESS | evento_003 | l
2026-08-24 14:49:58.878 | PRESS | evento_004 | Key.esc
2026-08-24 14:51:17.513 | PRESS | evento_001 | u
2026-08-24 14:51:17.588 | RELEASE | evento_002 | 'u'
2026-08-24 14:51:18.438 | PRESS | evento_003 | p
2026-08-24 14:51:18.927 | PRESS | evento_004 | p
2026-08-24 14:51:18.957 | PRESS | evento_005 | p
2026-08-24 14:51:18.988 | PRESS | evento_006 | p
2026-08-24 14:51:19.015 | PRESS | evento_007 | p
2026-08-24 14:51:19.045 | PRESS | evento_008 | p
2026-08-24 14:51:19.075 | PRESS | evento_009 | p
2026-08-24 14:51:19.104 | PRESS | evento_010 | p
2026-08-24 14:51:19.134 | PRESS | evento_011 | p
2026-08-24 14:51:19.164 | PRESS | evento_012 | p
2026-08-24 14:51:19.193 | PRESS | evento_013 | p
2026-08-24 14:51:19.224 | PRESS | evento_014 | p
2026-08-24 14:51:19.253 | PRESS | evento_015 | p
2026-08-24 14:51:19.283 | PRESS | evento_016 | p
2026-08-24 14:51:19.315 | PRESS | evento_017 | p
2026-08-24 14:51:19.352 | RELEASE | evento_018 | 'p'
2026-08-24 14:51:21.820 | PRESS | evento_019 | d
2026-08-24 14:51:21.939 | RELEASE | evento_020 | 'd'
2026-08-24 14:51:22.798 | PRESS | evento_021 | Key.esc
2026-08-24 14:51:22.863 | RELEASE | evento_022 | Key.esc
2026-08-24 14:53:50.413 | PRESS | evento_001 | u
2026-08-24 14:53:50.474 | RELEASE | evento_002 | 'u'
2026-08-24 14:53:51.249 | PRESS | evento_003 | k
2026-08-24 14:53:51.324 | RELEASE | evento_004 | 'k'
2026-08-24 14:53:51.799 | PRESS | evento_005 | m
2026-08-24 14:53:51.881 | RELEASE | evento_006 | 'm'
2026-08-24 14:53:52.741 | PRESS | evento_007 | Key.esc
2026-08-24 14:53:52.796 | RELEASE | evento_008 | Key.esc
2026-08-24 15:22:44.204 | PRESS | evento_001 | Key.caps_lock
2026-08-24 15:22:44.208 | RELEASE | evento_002 | Key.caps_lock
2026-08-24 15:23:02.829 | PRESS | evento_003 | Key.caps_lock
2026-08-24 15:23:02.830 | RELEASE | evento_004 | Key.caps_lock
2026-08-24 15:23:11.887 | PRESS | evento_005 | Key.caps_lock
2026-08-24 15:23:11.889 | RELEASE | evento_006 | Key.caps_lock
2026-08-24 15:23:20.401 | PRESS | evento_007 | Key.caps_lock
2026-08-24 15:23:20.403 | RELEASE | evento_008 | Key.caps_lock
2026-08-24 15:23:21.552 | PRESS | evento_009 | Key.ctrl_l
2026-08-24 15:23:21.770 | PRESS | evento_010 | 
2026-08-24 15:23:21.828 | RELEASE | evento_011 | '\x16'
2026-08-24 15:23:21.917 | RELEASE | evento_012 | Key.ctrl_l
2026-08-24 15:23:22.516 | PRESS | evento_013 | Key.enter
2026-08-24 15:23:22.583 | RELEASE | evento_014 | Key.enter
2026-08-24 15:23:45.651 | PRESS | evento_015 | p
2026-08-24 15:23:45.733 | RELEASE | evento_016 | 'p'
2026-08-24 15:23:45.750 | PRESS | evento_017 | e
2026-08-24 15:23:45.850 | RELEASE | evento_018 | 'e'
2026-08-24 15:23:46.064 | PRESS | evento_019 | o
2026-08-24 15:23:46.150 | RELEASE | evento_020 | 'o'
2026-08-24 15:23:46.316 | PRESS | evento_021 | Key.space
2026-08-24 15:23:46.388 | RELEASE | evento_022 | Key.space
2026-08-24 15:23:46.632 | PRESS | evento_023 | Key.backspace
2026-08-24 15:23:46.772 | RELEASE | evento_024 | Key.backspace
2026-08-24 15:23:46.852 | PRESS | evento_025 | Key.backspace
2026-08-24 15:23:46.939 | RELEASE | evento_026 | Key.backspace
2026-08-24 15:23:47.424 | PRESS | evento_027 | Key.alt_l
2026-08-24 15:23:47.518 | PRESS | evento_028 | Key.tab
2026-08-24 15:23:47.625 | RELEASE | evento_029 | Key.tab
2026-08-24 15:23:48.140 | PRESS | evento_030 | Key.tab
2026-08-24 15:23:48.243 | RELEASE | evento_031 | Key.tab
2026-08-24 15:23:48.273 | RELEASE | evento_032 | Key.alt_l
2026-08-24 15:23:54.654 | PRESS | evento_033 | r
2026-08-24 15:23:54.732 | RELEASE | evento_034 | 'r'
2026-08-24 15:23:54.801 | PRESS | evento_035 | o
2026-08-24 15:23:54.870 | RELEASE | evento_036 | 'o'
2026-08-24 15:23:55.106 | PRESS | evento_037 | e
2026-08-24 15:23:55.185 | RELEASE | evento_038 | 'e'
2026-08-24 15:23:55.316 | PRESS | evento_039 | s
2026-08-24 15:23:55.408 | RELEASE | evento_040 | 's'
2026-08-24 15:23:55.458 | PRESS | evento_041 | p
2026-08-24 15:23:55.538 | RELEASE | evento_042 | 'p'
2026-08-24 15:23:55.554 | PRESS | evento_043 | e
2026-08-24 15:23:55.624 | RELEASE | evento_044 | 'e'
2026-08-24 15:23:55.717 | PRESS | evento_045 | r
2026-08-24 15:23:55.760 | RELEASE | evento_046 | 'r'
2026-08-24 15:23:55.895 | PRESS | evento_047 | a
2026-08-24 15:23:56.005 | RELEASE | evento_048 | 'a'
2026-08-24 15:23:56.224 | PRESS | evento_049 | Key.backspace
2026-08-24 15:23:56.312 | RELEASE | evento_050 | Key.backspace
2026-08-24 15:23:56.411 | PRESS | evento_051 | Key.backspace
2026-08-24 15:23:56.464 | RELEASE | evento_052 | Key.backspace
2026-08-24 15:23:56.537 | PRESS | evento_053 | Key.backspace
2026-08-24 15:23:56.609 | RELEASE | evento_054 | Key.backspace
2026-08-24 15:23:56.674 | PRESS | evento_055 | Key.backspace
2026-08-24 15:23:56.770 | RELEASE | evento_056 | Key.backspace
2026-08-24 15:23:56.837 | PRESS | evento_057 | Key.backspace
2026-08-24 15:23:56.920 | RELEASE | evento_058 | Key.backspace
2026-08-24 15:23:56.993 | PRESS | evento_059 | Key.backspace
2026-08-24 15:23:57.064 | RELEASE | evento_060 | Key.backspace
2026-08-24 15:23:57.260 | PRESS | evento_061 | Key.space
2026-08-24 15:23:57.349 | RELEASE | evento_062 | Key.space
2026-08-24 15:23:57.374 | PRESS | evento_063 | e
2026-08-24 15:23:57.438 | RELEASE | evento_064 | 'e'
2026-08-24 15:23:57.512 | PRESS | evento_065 | s
2026-08-24 15:23:57.592 | RELEASE | evento_066 | 's'
2026-08-24 15:23:57.621 | PRESS | evento_067 | p
2026-08-24 15:23:57.699 | PRESS | evento_068 | e
2026-08-24 15:23:57.703 | RELEASE | evento_069 | 'p'
2026-08-24 15:23:57.783 | RELEASE | evento_070 | 'e'
2026-08-24 15:23:57.876 | PRESS | evento_071 | r
2026-08-24 15:23:57.926 | RELEASE | evento_072 | 'r'
2026-08-24 15:23:58.054 | PRESS | evento_073 | a
2026-08-24 15:23:58.136 | RELEASE | evento_074 | 'a'
2026-08-24 15:23:58.226 | PRESS | evento_075 | ,
2026-08-24 15:23:58.328 | RELEASE | evento_076 | ','
2026-08-24 15:23:58.416 | PRESS | evento_077 | Key.space
2026-08-24 15:23:58.489 | RELEASE | evento_078 | Key.space
2026-08-24 15:23:58.528 | PRESS | evento_079 | e
2026-08-24 15:23:58.593 | RELEASE | evento_080 | 'e'
2026-08-24 15:23:58.631 | PRESS | evento_081 | n
